"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"373",15,"Will Dissly",SEA,"TE62","11","2 out of 5 stars","-"
"374",15,"Tylan Wallace",BAL,"WR142","10","3 out of 5 stars","-"
"375",15,"Auden Tate",ATL,"WR143","14","4 out of 5 stars","-"
"376",15,"Equanimeous St. Brown",CHI,"WR144","14","3 out of 5 stars","-"
"377",15,"Royce Freeman",HOU,"RB125","6","3 out of 5 stars","-"
"378",15,"Breshad Perriman",TB,"WR145","11","4 out of 5 stars","-"
"379",15,"Pharaoh Brown",HOU,"TE63","6","3 out of 5 stars","-"
"380",15,"Geoff Swaim",TEN,"TE64","6","5 out of 5 stars","-"
"381",15,"Demetric Felton Jr.",CLE,"RB126","9","3 out of 5 stars","-"
"382",15,"Jeremy McNichols",FA,"RB127","-","-","-"
"383",15,"Chigoziem Okonkwo",TEN,"TE65","6","5 out of 5 stars","-"
"384",15,"Ashton Dulin",IND,"WR146","14","4 out of 5 stars","-"
"385",16,"Anthony McFarland Jr.",PIT,"RB128","9","3 out of 5 stars","-"
"386",16,"Jalen Nailor",MIN,"WR147","7","2 out of 5 stars","-"
"387",16,"James O'Shaughnessy",CHI,"TE66","14","5 out of 5 stars","-"
"388",16,"JaMycal Hasty",SF,"RB129","9","2 out of 5 stars","-"
"389",16,"Travis Homer",SEA,"RB130","11","2 out of 5 stars","-"
"390",16,"Jalen Wydermyer",BUF,"TE67","7","3 out of 5 stars","-"
"391",16,"Jake Ferguson",DAL,"TE68","9","3 out of 5 stars","-"
"392",16,"Dez Fitzpatrick",TEN,"WR148","6","3 out of 5 stars","-"
"393",16,"Kennedy Brooks",PHI,"RB131","7","3 out of 5 stars","-"
"394",16,"Antoine Wesley",ARI,"WR149","13","2 out of 5 stars","-"
"395",16,"Durham Smythe",MIA,"TE69","11","3 out of 5 stars","-"
"396",16,"Maxx Williams",ARI,"TE70","13","3 out of 5 stars","-"
"397",16,"Jaelon Darden",TB,"WR150","11","4 out of 5 stars","-"
"398",16,"Ty Chandler",MIN,"RB132","7","4 out of 5 stars","-"
"399",16,"Deonte Harris",NO,"WR151","14","4 out of 5 stars","-"
"400",16,"N'Keal Harry",CHI,"WR152","14","3 out of 5 stars","-"
"401",16,"Tyrod Taylor",NYG,"QB47","9","5 out of 5 stars","-"
"402",16,"Phillip Dorsett II",HOU,"WR153","6","3 out of 5 stars","-"
"403",16,"Jerrion Ealy",KC,"RB133","8","3 out of 5 stars","-"
"404",16,"Mike Boone",DEN,"RB134","9","3 out of 5 stars","-"
"405",16,"Noah Brown",DAL,"WR154","9","3 out of 5 stars","-"
"406",16,"C.J. Ham",MIN,"RB135","7","4 out of 5 stars","-"
"407",16,"Miles Boykin",PIT,"WR155","9","4 out of 5 stars","-"
"408",16,"Scotty Miller",TB,"WR156","11","4 out of 5 stars","-"
"409",16,"Lil'Jordan Humphrey",NE,"WR157","10","4 out of 5 stars","-"
"410",16,"Noah Gray",KC,"TE71","8","3 out of 5 stars","-"
"411",16,"Kalif Raymond",DET,"WR158","6","3 out of 5 stars","-"
"412",16,"Nick Vannett",NO,"TE72","14","4 out of 5 stars","-"
"413",16,"Zonovan Knight",NYJ,"RB136","10","4 out of 5 stars","-"
"414",16,"D'Vonte Price",IND,"RB137","14","3 out of 5 stars","-"
"415",16,"Rico Dowdle",DAL,"RB138","9","4 out of 5 stars","-"
"416",16,"Drew Sample",CIN,"TE73","10","2 out of 5 stars","-"
"417",16,"Kalen Ballage",FA,"RB139","-","-","-"
"418",16,"Ihmir Smith-Marsette",MIN,"WR159","7","2 out of 5 stars","-"
"419",16,"Case Keenum",BUF,"QB48","7","3 out of 5 stars","-"
"420",16,"Tyler Kroft",SF,"TE74","9","4 out of 5 stars","-"
"421",16,"Taylor Heinicke",WAS,"QB49","14","4 out of 5 stars","-"
"422",16,"Dare Ogunbowale",HOU,"RB140","6","3 out of 5 stars","-"
"423",16,"Anthony Miller",PIT,"WR160","9","4 out of 5 stars","-"
"424",16,"Tre' McKitty",LAC,"TE75","8","4 out of 5 stars","-"
"425",16,"Jermar Jefferson",DET,"RB141","6","4 out of 5 stars","-"
"426",16,"Julius Chestnut",TEN,"RB142","6","4 out of 5 stars","-"
"427",16,"Ross Dwelley",SF,"TE76","9","4 out of 5 stars","-"
"428",16,"Jacob Harris",LAR,"TE77","7","3 out of 5 stars","-"
"429",16,"Albert Wilson",MIN,"WR161","7","2 out of 5 stars","-"
"430",16,"Tyler Goodson",GB,"RB143","14","3 out of 5 stars","-"
"431",16,"Marcedes Lewis",GB,"TE78","14","1 out of 5 stars","-"
"432",16,"Gary Brightwell",NYG,"RB144","9","3 out of 5 stars","-"
"433",16,"Jordan Mason",SF,"RB145","9","2 out of 5 stars","-"
"434",16,"Patrick Ricard",BAL,"RB146","10","4 out of 5 stars","-"
"435",16,"Justin Watson",KC,"WR162","8","2 out of 5 stars","-"
"436",16,"Zach Gentry",PIT,"TE79","9","4 out of 5 stars","-"
"437",16,"Cole Turner",WAS,"TE80","14","4 out of 5 stars","-"
"438",16,"Brock Wright",DET,"TE81","6","4 out of 5 stars","-"
"439",16,"Mack Hollins",LV,"WR163","6","2 out of 5 stars","-"
"440",16,"Trayveon Williams",CIN,"RB147","10","3 out of 5 stars","-"
"441",16,"Damiere Byrd",ATL,"WR164","14","4 out of 5 stars","-"
"442",16,"Godwin Igwebuike",DET,"RB148","6","4 out of 5 stars","-"
"443",16,"James Mitchell",DET,"TE82","6","4 out of 5 stars","-"
"444",16,"Antonio Gandy-Golden",WAS,"WR165","14","4 out of 5 stars","-"
"445",16,"Nick Boyle",BAL,"TE83","10","2 out of 5 stars","-"
"446",16,"Blake Bell",KC,"TE84","8","3 out of 5 stars","-"
"447",16,"Samori Toure",GB,"WR166","14","3 out of 5 stars","-"
"448",16,"Trent Sherfield",MIA,"WR167","11","2 out of 5 stars","-"
"449",16,"Jacob Hollister",LV,"TE85","6","2 out of 5 stars","-"
"450",16,"Chad Simpson",WAS,"RB149","14","4 out of 5 stars","-"
"451",16,"Qadree Ollison",ATL,"RB150","14","1 out of 5 stars","-"
"452",16,"Adam Shaheen",MIA,"TE86","11","3 out of 5 stars","-"
"453",16,"Bisi Johnson",MIN,"WR168","7","2 out of 5 stars","-"
"454",16,"Preston Williams",MIA,"WR169","11","2 out of 5 stars","-"
"455",16,"Josh Gordon",KC,"WR170","8","2 out of 5 stars","-"
"456",16,"Marquise Goodwin",SEA,"WR171","11","4 out of 5 stars","-"
"457",16,"Danny Amendola",FA,"WR172","-","-","-"
"458",16,"Shi Smith",CAR,"WR173","13","3 out of 5 stars","-"
"459",16,"Chris Manhertz",JAC,"TE87","11","4 out of 5 stars","-"
"460",16,"Ben Skowronek",LAR,"WR174","7","2 out of 5 stars","-"
"461",16,"Justice Hill",BAL,"RB151","10","4 out of 5 stars","-"
"462",16,"Johnny Mundt",MIN,"TE88","7","3 out of 5 stars","-"
"463",16,"Tutu Atwell",LAR,"WR175","7","2 out of 5 stars","-"
"464",16,"Chris Moore",HOU,"WR176","6","3 out of 5 stars","-"
"465",16,"Brycen Hopkins",LAR,"TE89","7","3 out of 5 stars","-"
"466",16,"Charleston Rambo",CAR,"WR177","13","3 out of 5 stars","-"
"467",16,"Richie James Jr.",NYG,"WR178","9","4 out of 5 stars","-"
"468",16,"Jesse James",FA,"TE90","-","-","-"
"469",16,"Larry Rountree III",LAC,"RB152","8","2 out of 5 stars","-"
"470",16,"Trevon Wesco",NYJ,"TE91","10","3 out of 5 stars","-"
"471",16,"Bo Melton",SEA,"WR179","11","4 out of 5 stars","-"
"472",16,"Cyril Grayson Jr.",TB,"WR180","11","4 out of 5 stars","-"
