"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Kyle Pitts","ATL","TE4","0.0","0.0","0.0","74.0","1,006.6","4.7","0.5","202.0"
"JuJu Smith-Schuster","KC","WR34","2.3","11.5","0.5","76.4","838.1","6.4","0.5","201.1"
"Miles Sanders","PHI","RB25","210.0","1,066.1","5.8","32.5","231.8","1.2","2.0","199.8"
"Elijah Moore","NYJ","WR35","6.2","50.8","0.5","68.8","889.3","5.8","0.5","199.3"
"Robert Woods","TEN","WR36","8.9","61.0","0.7","71.9","853.5","4.9","0.5","195.9"
"Cordarrelle Patterson","ATL","RB26","146.4","639.9","4.8","44.6","411.8","2.8","0.9","193.8"
"Dalton Schultz","DAL","TE5","0.0","0.0","0.0","77.3","803.0","6.1","0.4","193.6"
"George Kittle","SF","TE6","0.0","0.0","0.0","72.7","889.0","5.4","0.5","193.1"
"Rashod Bateman","BAL","WR37","0.2","2.2","0.0","72.1","910.6","4.8","0.5","191.3"
"Tony Pollard","DAL","RB27","154.4","738.6","3.8","44.2","361.6","1.9","0.9","186.5"
"Devin Singletary","BUF","RB28","186.5","858.7","6.1","34.6","232.4","1.4","1.3","186.2"
"Damien Harris","NE","RB29","213.8","965.6","9.9","16.6","125.6","0.3","1.4","184.4"
"Treylon Burks","TEN","WR38","4.0","25.8","0.3","61.3","888.7","5.3","1.2","183.6"
"Christian Kirk","JAC","WR39","0.8","6.2","0.0","70.3","859.4","4.6","0.5","183.3"
"Chase Claypool","PIT","WR40","8.7","52.6","0.2","64.2","861.0","4.6","0.5","183.3"
"Drake London","ATL","WR41","0.8","4.2","0.0","67.1","891.1","4.8","1.2","182.9"
"DeVonta Smith","PHI","WR42","0.0","0.0","0.0","62.9","866.0","5.6","0.5","182.3"
"AJ Dillon","GB","RB30","178.3","770.7","6.1","30.2","249.4","1.4","1.2","175.1"
"Rashaad Penny","SEA","RB31","191.2","985.7","6.7","19.7","148.5","0.5","1.2","174.3"
"Brandon Aiyuk","SF","WR43","2.9","17.2","0.0","60.2","814.1","5.1","0.5","173.0"
"Dallas Goedert","PHI","TE7","0.0","0.0","0.0","63.5","793.1","5.0","0.5","172.0"
"Jakobi Meyers","NE","WR44","0.4","2.8","0.0","70.9","798.5","3.6","0.5","171.9"
"Kareem Hunt","CLE","RB32","133.1","568.1","4.7","42.5","332.4","1.8","0.8","170.1"
"Allen Lazard","GB","WR45","1.4","11.9","0.0","55.3","743.5","6.6","0.4","169.7"
"T.J. Hockenson","DET","TE8","0.0","0.0","0.0","67.7","692.7","5.1","0.4","166.9"
