"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Damiere Byrd","ATL","WR127","0.0","0.0","0.0","15.5","183.4","0.9","0.1","39.2"
"N'Keal Harry","CHI","WR128","0.0","0.0","0.0","14.3","189.0","1.0","0.0","39.2"
"Phillip Lindsay","IND","RB85","45.4","228.0","1.5","3.9","29.1","0.1","0.1","39.0"
"Ja'Marcus Bradley","CLE","WR129","0.0","0.0","0.0","13.7","189.7","1.0","0.0","38.5"
"Eno Benjamin","ARI","RB86","37.6","173.2","1.3","6.7","53.1","0.2","0.2","37.6"
"Kendall Blanton","LAR","TE59","0.0","0.0","0.0","14.8","156.7","1.4","0.5","37.5"
"Chester Rogers","HOU","WR130","0.0","0.0","0.0","15.3","170.5","0.8","0.0","37.2"
"Tevin Coleman","NYJ","RB87","24.7","171.0","0.9","8.6","61.0","0.2","0.3","37.2"
"Tyrion Davis-Price","SF","RB88","46.7","197.4","1.6","4.4","30.0","0.1","0.3","36.9"
"Chris Moore","HOU","WR131","0.0","0.0","0.0","15.2","165.3","0.8","0.1","36.2"
"Travis Homer","SEA","RB89","16.4","100.1","0.5","11.0","92.7","0.4","0.1","35.9"
"Dyami Brown","WAS","WR132","0.0","0.0","0.0","12.0","185.5","0.9","0.0","35.8"
"Dez Fitzpatrick","TEN","WR133","0.0","0.0","0.0","12.8","172.0","0.9","0.0","35.6"
"Nick Boyle","BAL","TE60","0.0","0.0","0.0","14.1","132.4","1.3","0.0","35.3"
"Charlie Kolar","BAL","TE61","0.0","0.0","0.0","13.3","144.9","1.2","0.0","35.0"
"Zach Davidson","MIN","TE62","0.0","0.0","0.0","14.0","148.0","1.0","0.0","34.8"
"Maxx Williams","ARI","TE63","0.0","0.0","0.0","14.3","153.7","0.7","0.0","34.0"
"Mike Davis","BAL","RB90","24.1","132.9","0.8","9.2","58.5","0.2","0.2","33.9"
"Kalif Raymond","DET","WR134","0.7","4.2","0.0","12.5","150.4","1.0","0.0","33.9"
"Jaret Patterson","WAS","RB91","33.2","164.0","1.3","6.2","41.9","0.1","0.8","33.8"
"Equanimeous St. Brown","CHI","WR135","0.0","0.0","0.0","12.0","167.7","0.8","0.1","33.7"
"Daniel Bellinger","NYG","TE64","0.0","0.0","0.0","14.0","144.7","0.9","0.1","33.6"
"Matt Bushman","KC","TE65","0.0","0.0","0.0","14.0","136.0","1.0","0.0","33.6"
"Zach Pascal","PHI","WR136","0.3","1.8","0.0","11.6","147.1","1.1","0.0","33.1"
"Anthony Miller","PIT","WR137","0.0","0.0","0.0","12.7","152.8","0.8","0.0","32.6"
"Antoine Wesley","ARI","WR138","0.0","0.0","0.0","11.9","147.0","1.0","0.0","32.3"
"Jamal Agnew","JAC","WR139","8.6","56.3","0.4","9.6","109.1","0.7","0.1","32.2"
"Benny Snell Jr.","PIT","RB92","41.6","166.6","1.0","5.4","37.2","0.1","0.2","32.0"
"Jake Ferguson","DAL","TE66","0.0","0.0","0.0","13.1","136.3","0.9","0.0","31.9"
"Ray-Ray McCloud","SF","WR140","0.0","0.0","0.0","12.7","143.8","0.8","0.0","31.8"
"Erik Ezukanma","MIA","WR141","0.0","0.0","0.0","10.9","149.1","1.0","0.1","31.6"
"Joshua Kelley","LAC","RB93","23.4","148.1","1.0","6.4","47.8","0.2","0.8","31.3"
"Jacob Harris","LAR","TE67","0.0","0.0","0.0","12.0","132.0","1.0","0.0","31.2"
"Duke Johnson Jr.","BUF","RB94","27.2","122.9","0.9","6.7","61.2","0.2","0.5","30.9"
"Ryan Griffin","CHI","TE68","0.0","0.0","0.0","12.5","122.9","1.0","0.0","30.5"
"Nick Eubanks","CIN","TE69","0.0","0.0","0.0","12.0","125.0","1.0","0.0","30.5"
"Ihmir Smith-Marsette","MIN","WR142","0.0","0.0","0.0","11.4","141.8","0.8","0.1","30.4"
"Zack Moss","BUF","RB95","31.3","140.2","1.1","5.1","37.7","0.2","0.1","30.3"
"Shaun Beyer","MIN","TE70","0.0","0.0","0.0","12.0","122.0","1.0","0.0","30.2"
"Alize Mack","GB","TE71","0.0","0.0","0.0","12.0","122.0","1.0","0.0","30.2"
"Cody Hollister","TEN","WR143","0.0","0.0","0.0","11.3","135.0","0.9","0.0","30.1"
"Tyler Kroft","SF","TE72","0.0","0.0","0.0","11.6","127.0","0.9","0.0","29.5"
"Myles Gaskin","MIA","RB96","23.0","116.3","0.7","8.1","51.5","0.1","0.2","29.2"
"Lynn Bowden Jr.","MIA","WR144","2.3","14.3","0.1","11.4","117.8","0.6","0.0","28.9"
"DeeJay Dallas","SEA","RB97","17.6","70.7","0.5","10.1","64.8","0.4","0.2","28.2"
"Drew Sample","CIN","TE73","0.0","0.0","0.0","11.5","116.5","0.9","0.1","28.2"
"Jermar Jefferson","DET","RB98","28.0","118.3","1.3","4.8","32.5","0.0","0.0","28.0"
"Breshad Perriman","TB","WR145","0.0","0.0","0.0","9.2","131.8","0.9","0.0","27.9"
"Trey Sermon","SF","RB99","23.8","97.7","1.0","6.7","45.1","0.2","0.0","27.8"
"Javon Wims","CLE","WR146","0.0","0.0","0.0","10.9","126.0","0.7","0.0","27.7"
"Zach Gentry","PIT","TE74","0.0","0.0","0.0","11.7","108.9","0.8","0.0","27.5"
"Connor Heyward","PIT","TE75","0.0","0.0","0.0","11.5","116.1","0.7","0.1","27.4"
"Kenny Yeboah","NYJ","TE76","0.0","0.0","0.0","10.5","113.2","0.9","0.0","27.2"
"Pierre Strong Jr.","NE","RB100","24.2","103.2","0.9","6.1","48.4","0.2","0.1","27.1"
"Ashton Dulin","IND","WR147","1.6","10.0","0.1","9.1","120.5","0.8","0.1","27.1"
"Dazz Newsome","CHI","WR148","0.0","0.0","0.0","9.8","127.9","0.7","0.0","26.8"
"Noah Gray","KC","TE77","0.0","0.0","0.0","10.1","103.7","1.0","0.1","26.1"
"Rysen John","CHI","WR149","0.0","0.0","0.0","10.0","98.0","1.0","0.0","25.8"
"Mason Schreck","HOU","TE78","0.0","0.0","0.0","10.0","93.0","1.0","0.0","25.3"
"Blake Bell","KC","TE79","0.0","0.0","0.0","10.2","97.0","0.9","0.0","25.1"
"Royce Freeman","HOU","RB101","17.3","70.7","0.4","8.5","55.5","0.3","0.0","25.1"
"Brock Wright","DET","TE80","0.0","0.0","0.0","9.9","94.5","1.0","0.0","25.1"
"Patrick Ricard","BAL","RB102","2.7","7.0","0.1","11.2","76.5","0.8","0.0","24.7"
"Brandon Zylstra","CAR","WR150","0.0","0.0","0.0","9.4","119.0","0.6","0.1","24.7"
"J.J. Taylor","NE","RB103","22.4","110.1","1.3","3.2","19.3","0.1","0.1","24.7"
"Tyler Johnson","TB","WR151","0.0","0.0","0.0","9.5","109.8","0.7","0.0","24.6"
"Tutu Atwell","LAR","WR152","0.0","0.0","0.0","8.8","112.1","0.8","0.1","24.4"
"Demetric Felton Jr.","CLE","RB104","3.6","25.2","0.1","9.4","82.6","0.6","0.0","24.2"
"Gary Brightwell","NYG","RB105","22.7","87.1","0.7","5.9","44.9","0.1","0.1","23.7"
"Josh Oliver","BAL","TE81","0.0","0.0","0.0","9.3","91.6","0.9","0.0","23.6"
"Isaiah Likely","BAL","TE82","0.0","0.0","0.0","9.4","91.8","0.8","0.0","23.5"
"Trent Sherfield","MIA","WR153","0.0","0.0","0.0","8.7","110.1","0.6","0.0","23.4"
"Jeremy McNichols","PIT","RB106","27.0","101.0","0.0","4.0","31.0","1.0","0.0","23.2"
"Justice Hill","BAL","RB107","23.7","96.8","0.7","6.0","42.7","0.1","1.0","23.1"
"Dare Ogunbowale","HOU","RB108","13.0","51.8","0.2","8.8","67.2","0.2","0.1","23.0"
"Ty Montgomery","NE","RB109","9.7","56.9","0.5","6.2","64.5","0.3","0.0","22.8"
"Albert Wilson","MIN","WR154","4.4","27.7","0.2","7.6","78.4","0.6","0.0","22.7"
"Tyquan Thornton","NE","WR155","0.0","0.0","0.0","8.7","102.5","0.7","0.1","22.7"
"Ko Kieft","TB","TE83","0.0","0.0","0.0","9.2","91.8","0.7","0.0","22.5"
"Tony Jones Jr.","NO","RB110","28.3","108.8","0.5","4.9","36.2","0.1","0.1","22.5"
"Nick Vannett","NO","TE84","0.0","0.0","0.0","8.3","91.1","0.8","0.0","22.1"
"Richard Rodgers","PHI","TE85","0.0","0.0","0.0","8.7","86.9","0.8","0.0","22.0"
"Anthony McFarland Jr.","PIT","RB111","15.3","100.2","0.5","4.6","32.9","0.2","0.1","21.6"
"C.J. Ham","MIN","RB112","5.4","15.3","0.1","9.8","70.7","0.4","0.0","21.5"
"Jakeem Grant Sr.","CLE","WR156","0.7","4.4","0.0","8.1","96.4","0.5","0.0","21.4"
"Miles Boykin","PIT","WR157","0.0","0.0","0.0","7.6","99.0","0.6","0.0","21.1"
"Marcus Johnson","SF","WR158","0.0","0.0","0.0","7.5","92.1","0.7","0.0","20.8"
"Richie James Jr.","NYG","WR159","0.0","0.0","0.0","8.0","100.1","0.5","0.1","20.8"
"Dominique Dafney","GB","TE86","0.0","0.0","0.0","8.2","82.0","0.7","0.0","20.8"
"Stephen Anderson","ARI","TE87","0.0","0.0","0.0","8.1","84.4","0.7","0.0","20.5"
"Ross Dwelley","SF","TE88","0.0","0.0","0.0","8.7","79.1","0.7","0.0","20.5"
"Khalil Shakir","BUF","WR160","1.0","6.0","0.1","7.4","81.3","0.7","0.0","20.4"
"Chigoziem Okonkwo","TEN","TE89","0.0","0.0","0.0","8.1","79.9","0.7","0.0","20.4"
"Jeremy Sprinkle","DAL","TE90","0.0","0.0","0.0","8.2","78.9","0.7","0.0","20.1"
"Kene Nwangwu","MIN","RB113","21.5","87.1","0.6","4.1","26.1","0.1","0.1","19.9"
"Cole Turner","WAS","TE91","0.0","0.0","0.0","8.1","75.8","0.7","0.0","19.9"
"Tory Carter","TEN","RB114","9.5","44.5","0.5","6.9","49.4","0.1","0.0","19.8"
"Tre' McKitty","LAC","TE92","0.0","0.0","0.0","8.4","80.7","0.5","0.0","19.6"
"Danny Gray","SF","WR161","0.0","0.0","0.0","7.8","90.6","0.5","0.1","19.5"
"Tyler Badie","BAL","RB115","21.2","105.1","0.7","2.9","23.7","0.0","0.5","19.3"
"Juwann Winfree","GB","WR162","0.0","0.0","0.0","7.2","83.6","0.6","0.0","19.2"
"Penny Hart","SEA","WR163","0.0","0.0","0.0","7.9","84.1","0.5","0.0","19.2"
"Samori Toure","GB","WR164","0.0","0.0","0.0","6.8","80.6","0.7","0.0","19.1"
"Jody Fortson","KC","WR165","0.0","0.0","0.0","7.0","76.7","0.7","0.0","19.1"
"Luke Farrell","JAC","TE93","0.0","0.0","0.0","7.6","81.1","0.6","0.1","18.9"
"Garrett Griffin","DET","TE94","0.0","0.0","0.0","7.9","69.4","0.6","0.0","18.7"
"Darrynton Evans","CHI","RB116","15.5","64.8","0.5","4.9","34.9","0.1","0.1","18.6"
"Chris Manhertz","JAC","TE95","0.0","0.0","0.0","6.5","69.5","0.9","0.0","18.5"
"Jeff Smith","NYJ","WR166","0.0","0.0","0.0","6.7","90.7","0.5","0.0","18.5"
"Kyren Williams","LAR","RB117","15.7","66.9","0.9","3.7","28.4","0.0","0.1","18.4"
"Teagan Quitoriano","HOU","TE96","0.0","0.0","0.0","7.6","70.9","0.6","0.0","18.4"
"Nakia Griffin-Stewart","CLE","TE97","0.0","0.0","0.0","7.1","74.1","0.6","0.0","18.4"
"Darwin Thompson","SEA","RB118","0.0","75.6","0.6","3.8","28.8","0.2","0.1","18.3"
"Jalen Reagor","PHI","WR167","3.1","17.1","0.1","6.5","69.5","0.4","0.1","18.2"
"Mike Boone","DEN","RB119","14.5","76.2","0.7","3.5","25.3","0.1","0.0","18.2"
"Sean McKeon","DAL","TE98","0.0","0.0","0.0","7.1","71.9","0.6","0.1","18.0"
"JaMycal Hasty","SF","RB120","10.5","32.3","0.4","6.4","49.0","0.2","0.0","17.9"
"Kevin Harris","NE","RB121","20.3","86.4","0.6","3.0","24.3","0.0","0.0","17.9"
"Preston Williams","MIA","WR168","0.0","0.0","0.0","6.8","80.1","0.5","0.0","17.9"
"Isaiah Ford","IND","WR169","0.0","0.0","0.0","6.9","78.4","0.5","0.0","17.8"
"Keelan Doss","NYG","WR170","0.0","0.0","0.0","7.2","79.4","0.4","0.0","17.7"
"Adam Shaheen","MIA","TE99","0.0","0.0","0.0","7.5","74.0","0.5","0.0","17.7"
"Kristian Wilkerson","NE","WR171","0.0","0.0","0.0","6.7","78.4","0.5","0.0","17.6"
"Brycen Hopkins","LAR","TE100","0.0","0.0","0.0","6.7","72.7","0.6","0.0","17.6"
"Chad Beebe","HOU","WR172","0.0","0.0","0.0","7.0","83.2","0.4","0.0","17.5"
"Charlie Woerner","SF","TE101","0.0","0.0","0.0","6.8","66.8","0.7","0.0","17.5"
"Nick Muse","MIN","TE102","0.0","0.0","0.0","6.9","70.6","0.6","0.0","17.5"
"Jesper Horsted","LV","TE103","0.0","0.0","0.0","6.9","74.1","0.5","0.0","17.5"
"Kyle Philips","TEN","WR173","0.0","0.0","0.0","6.5","76.2","0.5","0.0","17.1"
"Kyle Phillips","NYJ","DT1","0.0","0.0","0.0","8.0","89.0","0.0","0.0","16.9"
"Colby Parkinson","SEA","TE104","0.0","0.0","0.0","7.2","68.0","0.5","0.1","16.9"
"Tyree Jackson","PHI","TE105","0.0","0.0","0.0","6.5","64.5","0.7","0.1","16.8"
"Josh Malone","TEN","WR174","0.0","0.0","0.0","6.3","73.9","0.5","0.0","16.8"
"Simi Fehoko","DAL","WR175","0.0","0.0","0.0","6.0","77.5","0.5","0.0","16.8"
"Keith Smith","ATL","RB122","8.1","24.4","0.2","7.0","45.9","0.3","0.1","16.7"
"James Mitchell","DET","TE106","0.0","0.0","0.0","6.9","62.2","0.6","0.0","16.6"
"Mekhi Sargent","JAC","RB123","4.5","58.2","0.4","4.5","28.0","0.2","0.1","16.3"
"Trey Quinn","DEN","WR176","0.0","0.0","0.0","5.5","90.2","0.3","0.0","16.3"
"Rico Dowdle","DAL","RB124","16.9","70.2","0.4","3.7","27.0","0.1","0.0","16.1"
"Tre'Quan Smith","NO","WR177","0.0","0.0","0.0","6.4","67.9","0.5","0.0","16.1"
"Jerome Ford","CLE","RB125","17.0","86.3","0.5","2.0","18.5","0.0","0.0","15.6"
"Tajae Sharpe","CHI","WR178","0.0","0.0","0.0","5.9","71.3","0.4","0.0","15.5"
"Dezmon Patmon","IND","WR179","0.0","0.0","0.0","5.4","67.3","0.5","0.0","15.4"
"T.J. Vasher","DAL","WR180","0.0","0.0","0.0","5.6","64.9","0.6","0.0","15.4"
"Andrew Ogletree","IND","TE107","0.0","0.0","0.0","5.9","60.4","0.6","0.0","15.3"
"Deonte Harty","NO","WR181","1.3","11.0","0.0","4.7","63.8","0.5","0.0","15.3"
"Juwan Johnson","NO","TE108","0.0","0.0","0.0","5.0","55.6","0.8","0.0","15.2"
"Eric Tomlinson","DEN","TE109","0.0","0.0","0.0","5.9","59.7","0.5","0.0","15.0"
"Johnny Mundt","MIN","TE110","0.0","0.0","0.0","5.9","59.1","0.5","0.1","14.8"
"Derrick Gore","KC","RB126","6.2","24.9","0.1","6.3","45.1","0.2","0.0","14.7"
"Andy Janovich","HOU","RB127","8.7","17.3","0.1","6.2","45.4","0.2","0.0","14.5"
"Racey McMath","TEN","WR182","0.0","0.0","0.0","5.3","69.2","0.4","0.0","14.5"
"David Moore","CHI","WR183","0.0","0.0","0.0","5.5","69.0","0.4","0.0","14.5"
"Ben Ellefson","MIN","TE111","0.0","0.0","0.0","5.2","54.9","0.6","0.0","14.4"
"Qadree Ollison","ATL","RB128","12.7","56.8","0.3","3.8","26.1","0.1","0.1","14.3"
"Keaontay Ingram","ARI","RB129","20.7","84.9","0.2","2.6","18.9","0.0","0.1","14.3"
"DeAndre Carter","LAC","WR184","0.0","0.0","0.0","5.4","64.9","0.4","0.0","14.3"
"Auden Tate","ATL","WR185","0.0","0.0","0.0","5.1","67.5","0.4","0.0","14.2"
"Jordan Wilkins","TEN","RB130","13.1","53.9","0.2","3.8","31.1","0.1","0.0","14.2"
"Trenton Cannon","TEN","RB131","7.5","20.1","0.1","5.3","44.7","0.2","0.0","13.9"
"Greg Ward","PHI","WR186","0.0","0.0","0.0","5.3","61.3","0.4","0.0","13.8"
"Tommy Hudson","TEN","TE112","0.0","0.0","0.0","5.5","53.7","0.5","0.0","13.8"
"Ty'Son Williams","IND","RB132","13.6","64.1","0.4","2.5","20.5","0.1","0.0","13.7"
"Antony Auclair","HOU","TE113","0.0","0.0","0.0","6.0","57.4","0.4","0.1","13.7"
"Dwayne Washington","NO","RB133","12.7","38.2","0.3","4.0","33.2","0.2","0.0","13.6"
"Malcolm Brown","NO","RB134","12.8","52.3","0.4","3.0","23.5","0.1","0.1","13.6"
"Kylin Hill","GB","RB135","8.7","34.5","0.1","5.1","37.7","0.1","0.0","13.5"
"Mohamed Sanu Sr.","MIA","WR187","0.0","0.0","0.0","5.8","54.6","0.4","0.0","13.3"
"Mike Strachan","IND","WR188","0.0","0.0","0.0","5.2","63.4","0.3","0.0","13.3"
"Marquise Goodwin","SEA","WR189","0.0","0.0","0.0","4.8","66.6","0.3","0.0","13.2"
"Ty Chandler","MIN","RB136","16.0","60.7","0.1","4.0","26.5","0.0","0.0","13.1"
"Jake Funk","LAR","RB137","9.6","48.3","0.4","2.9","21.7","0.1","0.1","13.0"
"Snoop Conner","JAC","RB138","11.2","47.0","0.4","3.1","23.3","0.1","0.1","12.8"
"Trent Taylor","CIN","WR190","0.0","0.0","0.0","4.6","56.5","0.4","0.0","12.5"
"Andre Roberts","CAR","WR191","0.0","0.0","0.0","3.9","67.7","0.3","0.0","12.4"
"Tyron Johnson","LV","WR192","0.0","0.0","0.0","4.5","57.1","0.4","0.0","12.4"
"Corey Clement","BAL","RB139","7.7","31.1","0.2","4.0","32.4","0.2","0.0","12.4"
"Mike Thomas","CIN","WR193","0.0","0.0","0.0","4.9","56.5","0.3","0.0","12.4"
"Isaiah Coulter","CHI","WR194","0.0","0.0","0.0","4.5","58.2","0.3","0.0","12.4"
"Larry Rountree III","LAC","RB140","15.2","61.7","0.4","1.9","14.9","0.1","0.1","12.3"
"Mack Hollins","LV","WR195","0.0","0.0","0.0","4.0","58.8","0.4","0.0","12.2"
"Jack Stoll","PHI","TE114","0.0","0.0","0.0","5.4","58.6","0.1","0.0","11.9"
"KhaDarel Hodge","ATL","WR196","0.0","0.0","0.0","4.6","56.2","0.3","0.0","11.7"
"Malik Turner","SF","WR197","0.0","0.0","0.0","3.7","56.8","0.4","0.0","11.5"
"Alec Ingold","MIA","RB141","4.3","17.4","0.2","4.4","31.3","0.2","0.1","11.5"
"Devin Asiasi","NE","TE115","0.0","0.0","0.0","3.9","51.9","0.4","0.0","11.4"
"Seth Williams","DEN","WR198","0.0","0.0","0.0","4.1","50.4","0.3","0.0","11.1"
"Antonio Williams","NYG","RB142","11.2","53.6","0.4","1.8","14.2","0.0","0.0","11.1"
"Cyril Grayson Jr.","TB","WR199","0.0","0.0","0.0","3.9","47.3","0.4","0.0","11.0"
"Stanley Morgan Jr.","CIN","WR200","0.0","0.0","0.0","4.6","50.7","0.2","0.0","11.0"
"Travis Fulgham","DEN","WR201","0.0","0.0","0.0","3.5","54.1","0.3","0.0","10.9"
"Devine Ozigbo","NO","RB143","4.8","19.2","0.2","3.8","31.2","0.2","0.0","10.9"
"Nsimba Webster","CHI","WR202","0.0","0.0","0.0","3.0","64.2","0.2","0.0","10.9"
"Giovanni Ricci","CAR","TE116","4.5","18.1","0.1","4.1","31.3","0.2","0.0","10.8"
"Jason Cabinda","DET","LB1","3.3","10.7","0.1","4.8","31.8","0.2","0.0","10.8"
"Alex Armah Jr.","WAS","RB144","4.8","18.9","0.2","3.9","27.9","0.2","0.0","10.6"
"Tyrie Cleveland","DEN","WR203","0.0","0.0","0.0","3.4","53.0","0.3","0.0","10.6"
"Ty Johnson","NYJ","RB145","5.3","22.3","0.1","3.8","30.0","0.2","0.1","10.6"
"Parker Hesse","ATL","TE117","0.0","0.0","0.0","4.5","43.9","0.3","0.0","10.5"
"Jace Sternberger","PIT","TE118","0.0","0.0","0.0","4.3","41.7","0.3","0.0","10.4"
"Isiah Pacheco","KC","RB146","10.1","41.3","0.3","2.3","15.5","0.1","0.1","10.4"
"Bisi Johnson","MIN","WR204","0.0","0.0","0.0","4.5","42.9","0.3","0.0","10.4"
"Kevin Rader","PIT","TE119","0.0","0.0","0.0","4.3","41.2","0.3","0.0","10.4"
"Ryquell Armstead","JAC","RB147","9.6","38.4","0.1","3.0","22.4","0.1","0.0","10.3"
"La'Mical Perine","NYJ","RB148","4.3","17.2","0.2","3.9","27.4","0.2","0.0","10.3"
"Nick Bowers","LV","TE120","0.0","0.0","0.0","4.0","42.2","0.4","0.0","10.3"
"Trestan Ebner","CHI","RB149","7.8","32.7","0.3","2.9","20.9","0.1","0.1","10.3"
"Eric Saubert","DEN","TE121","0.0","0.0","0.0","4.1","38.9","0.4","0.0","10.1"
"Jake Kumerow","BUF","WR205","0.0","0.0","0.0","3.6","44.7","0.3","0.0","10.1"
"Greg Dortch","ARI","WR206","0.0","0.0","0.0","3.8","44.6","0.3","0.0","10.0"
"Jaelon Darden","TB","WR207","0.0","0.0","0.0","3.4","48.1","0.3","0.0","10.0"
"Hunter Kampmoyer","LAC","TE122","0.0","0.0","0.0","3.8","39.6","0.4","0.0","10.0"
"Chris Herndon IV","NO","TE123","0.0","0.0","0.0","3.5","43.4","0.3","0.0","9.9"
"Malik Taylor","GB","WR208","0.0","0.0","0.0","3.6","43.1","0.3","0.0","9.9"
"Jakob Johnson","LV","RB150","4.0","9.4","0.1","4.4","26.9","0.2","0.0","9.9"
"Khari Blasingame","CHI","RB151","2.4","9.9","0.1","4.0","30.4","0.2","0.0","9.8"
"Derek Watt","PIT","RB152","2.2","10.0","0.1","4.3","28.6","0.2","0.0","9.8"
"Corey Coleman","KC","WR209","0.0","0.0","0.0","3.4","42.4","0.3","0.0","9.7"
"Reggie Gilliam","BUF","RB153","0.0","0.0","0.0","4.3","36.0","0.3","0.0","9.7"
"Marquez Stevenson","BUF","WR210","0.0","0.0","0.0","3.5","41.1","0.3","0.0","9.7"
"Jacob Hollister","LV","TE124","0.0","0.0","0.0","4.0","35.0","0.3","0.0","9.5"
"Jared Pinkney","LAR","TE125","0.0","0.0","0.0","3.8","38.9","0.3","0.0","9.5"
"Trenton Irwin","CIN","WR211","0.0","0.0","0.0","3.6","40.0","0.3","0.0","9.4"
"Jalen Nailor","MIN","WR212","0.0","0.0","0.0","3.4","39.9","0.3","0.0","9.2"
"Lil'Jordan Humphrey","NE","WR213","0.0","0.0","0.0","3.4","42.6","0.3","0.0","9.2"
"Johnny Stanton IV","CLE","RB154","2.2","9.4","0.1","3.8","27.5","0.2","0.0","9.2"
"Steven Sims Jr.","PIT","WR214","0.0","0.0","0.0","3.8","40.1","0.2","0.0","9.2"
"Jeremy Ruckert","NYJ","TE126","0.0","0.0","0.0","3.7","37.1","0.3","0.0","9.1"
"Michael Burton","KC","RB155","5.8","25.1","0.3","2.6","14.7","0.2","0.0","9.0"
"C.J. Board","NYG","WR215","0.0","0.0","0.0","2.7","47.0","0.2","0.0","8.9"
"Nick Bawden","NYJ","RB156","0.0","0.0","0.0","4.3","31.6","0.2","0.0","8.7"
"Shi Smith","CAR","WR216","0.0","0.0","0.0","3.3","40.8","0.2","0.0","8.6"
"Miller Forristall","CLE","TE127","0.0","0.0","0.0","3.4","35.2","0.3","0.1","8.6"
"Tyler Mabry","SEA","TE128","0.0","0.0","0.0","3.6","36.5","0.2","0.0","8.6"
"Collin Johnson","NYG","WR217","0.0","0.0","0.0","3.5","39.5","0.2","0.0","8.5"
"David Sills V","NYG","WR218","0.0","0.0","0.0","3.5","38.7","0.2","0.0","8.4"
"Devin Funchess","DET","WR219","0.0","0.0","0.0","3.0","38.7","0.2","0.0","8.3"
"Denzel Mims","NYJ","WR220","0.0","0.0","0.0","3.0","38.5","0.2","0.0","8.1"
"Grant Calcaterra","PHI","TE129","0.0","0.0","0.0","3.1","31.3","0.3","0.0","8.1"
"Dante Pettis","CHI","WR221","0.0","0.0","0.0","2.9","40.9","0.2","0.0","8.1"
"KeeSean Johnson","SF","WR222","0.0","0.0","0.0","3.0","30.9","0.3","0.0","8.0"
"J.J. Arcega-Whiteside","PHI","WR223","0.0","0.0","0.0","3.0","35.3","0.2","0.0","8.0"
"Daurice Fountain","KC","WR224","0.0","0.0","0.0","2.7","37.9","0.2","0.0","7.9"
"Justin Watson","KC","WR225","0.0","0.0","0.0","2.9","33.0","0.3","0.0","7.8"
"Cameron Batson","ATL","WR226","0.0","0.0","0.0","3.2","35.6","0.2","0.0","7.8"
"Mataeo Durant","PIT","RB157","7.4","30.5","0.2","2.1","14.0","0.1","0.0","7.8"
"Geronimo Allison","ATL","WR227","0.0","0.0","0.0","3.2","35.8","0.2","0.0","7.7"
"Jason Moore Jr.","LAC","WR228","0.0","0.0","0.0","2.8","34.3","0.3","0.0","7.7"
"Cody Thompson","SEA","WR229","0.0","0.0","0.0","3.2","34.4","0.2","0.0","7.7"
"Patrick Taylor Jr.","GB","RB158","5.3","22.5","0.2","2.1","15.3","0.1","0.1","7.4"
"Matthew Slater","NE","WR230","0.0","0.0","0.0","0.6","59.5","0.1","0.0","7.4"
"Deon Jackson","IND","RB159","8.7","37.4","0.3","1.0","6.9","0.0","0.1","7.3"
"Scotty Miller","TB","WR231","0.0","0.0","0.0","2.5","32.3","0.2","0.0","7.0"
"Kendall Hinton","DEN","WR232","0.0","0.0","0.0","2.5","31.1","0.2","0.0","6.9"
"Adam Prentice","NO","RB160","4.4","18.7","0.1","2.0","14.7","0.1","0.0","6.9"
"Trayveon Williams","CIN","RB161","2.9","11.9","0.1","2.8","19.5","0.1","0.0","6.9"
"Andy Isabella","ARI","WR233","0.0","0.0","0.0","2.1","35.1","0.2","0.0","6.7"
"Trinity Benson","DET","WR234","0.0","0.0","0.0","2.6","30.8","0.1","0.0","6.5"
"Bo Melton","SEA","WR235","0.0","0.0","0.0","2.8","32.3","0.1","0.0","6.3"
"Dax Milne","WAS","WR236","0.0","0.0","0.0","2.3","28.0","0.2","0.0","6.1"
"Easop Winston Jr.","NO","WR237","0.0","0.0","0.0","1.6","36.3","0.1","0.0","6.1"
"Godwin Igwebuike","DET","RB162","2.3","9.1","0.1","2.0","15.1","0.1","0.0","5.5"
"Brandon Powell","LAR","WR238","0.0","0.0","0.0","1.7","29.1","0.2","0.0","5.4"
"Hunter Long","MIA","TE130","0.0","0.0","0.0","2.0","19.9","0.2","0.0","4.9"
"Joe Reed","LAC","WR239","0.0","0.0","0.0","1.4","28.4","0.1","0.0","4.8"
"Tommy Sweeney","BUF","TE131","0.0","0.0","0.0","1.9","18.3","0.2","0.0","4.7"
"Mitchell Wilcox","CIN","TE132","0.0","0.0","0.0","1.8","18.4","0.2","0.0","4.6"
"Stephen Sullivan","CAR","TE133","0.0","0.0","0.0","1.8","18.9","0.1","0.0","4.4"
"Tre Nixon","NE","WR240","0.0","0.0","0.0","1.7","19.2","0.1","0.0","4.4"
"Josh Gordon","KC","WR241","0.0","0.0","0.0","1.3","20.0","0.1","0.0","4.1"
"John FitzPatrick","ATL","TE134","0.0","0.0","0.0","1.7","17.4","0.1","0.0","4.1"
"Jason Huntley","PHI","RB163","2.9","12.6","0.1","1.1","7.9","0.1","0.1","4.0"
"Jake Bargas","MIN","TE135","0.0","2.7","0.1","2.2","4.9","0.1","0.0","4.0"
"Gabe Nabers","LAC","RB164","4.4","14.1","0.1","1.1","3.0","0.1","0.0","3.9"
"Frank Darby","ATL","WR242","0.0","0.0","0.0","1.6","18.2","0.1","0.0","3.9"
