"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"187",11,"Jeff Smith",NYJ,"10","1 out of 5 stars","-"
"188",11,"Cornell Powell",KC,"8","2 out of 5 stars","-"
"189",11,"Mike Strachan",IND,"14","4 out of 5 stars","-"
"190",11,"Keke Coutee",IND,"14","4 out of 5 stars","-"
"191",11,"Dezmon Patmon",IND,"14","4 out of 5 stars","-"
"192",11,"Greg Ward",PHI,"7","4 out of 5 stars","-"
"193",11,"Richie James Jr.",NYG,"9","4 out of 5 stars","-"
"194",11,"Shi Smith",CAR,"13","3 out of 5 stars","-"
"195",11,"Stanley Morgan Jr.",CIN,"10","3 out of 5 stars","-"
"196",11,"Andre Roberts",CAR,"13","3 out of 5 stars","-"
"197",12,"Christian Blake",FA,"-","-","-"
"198",12,"Albert Wilson",MIN,"7","2 out of 5 stars","-"
"199",12,"Malik Turner",SF,"9","3 out of 5 stars","-"
"200",12,"Gunner Olszewski",PIT,"9","4 out of 5 stars","-"
"201",12,"Samori Toure",GB,"14","3 out of 5 stars","-"
"202",12,"Tajae Sharpe",CHI,"14","3 out of 5 stars","-"
"203",12,"Collin Johnson",NYG,"9","4 out of 5 stars","-"
"204",12,"Javon Wims",CLE,"9","4 out of 5 stars","-"
"205",12,"Isaiah Weston",FA,"-","-","-"
"206",12,"David Moore",CHI,"14","3 out of 5 stars","-"
"207",12,"D.J. Montgomery",IND,"14","4 out of 5 stars","-"
"208",12,"KhaDarel Hodge",ATL,"14","4 out of 5 stars","-"
"209",12,"Cameron Batson",ATL,"14","4 out of 5 stars","-"
"210",12,"Charleston Rambo",CAR,"13","3 out of 5 stars","-"
"211",12,"Malik Taylor",GB,"14","3 out of 5 stars","-"
"212",12,"Chester Rogers",HOU,"6","3 out of 5 stars","-"
"213",12,"Penny Hart",SEA,"11","4 out of 5 stars","-"
"214",12,"Jake Kumerow",BUF,"7","4 out of 5 stars","-98"
"215",12,"Dax Milne",WAS,"14","4 out of 5 stars","-"
"216",12,"Geronimo Allison",ATL,"14","4 out of 5 stars","-"
"217",12,"Montrell Washington",DEN,"9","4 out of 5 stars","-"
"218",12,"Seth Williams",DEN,"9","4 out of 5 stars","-"
"219",12,"Jaylon Moore",BAL,"10","3 out of 5 stars","-"
"220",12,"Alex Erickson",WAS,"14","4 out of 5 stars","-"
"221",12,"KeeSean Johnson",SF,"9","3 out of 5 stars","-"
"222",12,"Makai Polk",BAL,"10","3 out of 5 stars","-"
"223",12,"Juwann Winfree",GB,"14","3 out of 5 stars","-"
"224",12,"Lawrence Cager",NYJ,"10","1 out of 5 stars","-"
"225",12,"Trinity Benson",DET,"6","3 out of 5 stars","-"
"226",12,"Tay Martin",SF,"9","3 out of 5 stars","-"
"227",12,"Trent Taylor",CIN,"10","3 out of 5 stars","-"
"228",12,"Brandon Powell",LAR,"7","2 out of 5 stars","-"
"229",12,"Chris Moore",HOU,"6","3 out of 5 stars","-"
"230",12,"Slade Bolden",BAL,"10","3 out of 5 stars","-"
