"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Hunter Renfrow","LV","WR33","1.5","6.3","0.0","79.4","825.8","5.8","1.0","195.9"
"Rashod Bateman","BAL","WR34","0.0","0.0","0.0","73.5","930.9","5.0","0.8","194.9"
"Gabriel Davis","BUF","WR35","0.0","0.0","0.0","57.5","879.3","8.1","0.2","193.5"
"Kyle Pitts","ATL","TE5","0.0","0.0","0.0","71.5","960.1","4.4","0.7","192.6"
"Cordarrelle Patterson","ATL","RB25","145.2","609.4","4.7","44.4","425.5","3.0","1.3","191.5"
"Miles Sanders","PHI","RB26","205.9","1,013.5","4.9","31.6","225.9","1.3","2.0","188.8"
"Christian Kirk","JAC","WR36","0.5","5.0","0.0","72.8","875.3","4.6","0.7","187.2"
"Elijah Moore","NYJ","WR37","5.3","44.7","0.6","64.5","823.6","5.3","0.8","185.4"
"DeVonta Smith","PHI","WR38","0.0","0.0","0.0","64.1","857.8","6.1","0.7","184.7"
"Robert Woods","TEN","WR39","7.4","51.5","0.6","68.9","802.2","4.7","0.7","184.3"
"Dalton Schultz","DAL","TE6","0.0","0.0","0.0","74.9","746.6","5.9","0.7","183.9"
"Tony Pollard","DAL","RB27","151.0","742.1","3.6","44.4","343.1","1.9","1.4","183.1"
"Devin Singletary","BUF","RB28","187.1","854.8","5.9","34.1","218.0","1.3","1.7","181.7"
"Kareem Hunt","CLE","RB29","134.3","607.9","4.9","45.6","359.5","2.0","1.2","181.0"
"Damien Harris","NE","RB30","216.4","958.6","9.8","15.0","110.9","0.3","1.9","178.3"
"Drake London","ATL","WR40","0.8","3.0","0.0","64.8","876.9","4.5","1.2","177.3"
"Chase Claypool","PIT","WR41","8.9","52.8","0.3","61.0","856.2","4.1","0.7","176.6"
"Russell Gage","TB","WR42","0.3","1.0","0.0","66.5","777.0","5.8","1.3","176.6"
"Treylon Burks","TEN","WR43","2.6","15.0","0.1","61.1","867.1","4.9","1.2","176.6"
"Clyde Edwards-Helaire","KC","RB31","162.7","717.3","4.9","36.8","272.4","2.1","1.4","175.4"
"Kadarius Toney","NYG","WR44","8.0","52.5","0.2","66.8","765.6","4.0","0.8","172.2"
"AJ Dillon","GB","RB32","175.3","767.8","5.7","28.7","231.2","1.3","1.4","168.0"
"T.J. Hockenson","DET","TE7","0.0","0.0","0.0","68.0","699.4","5.1","0.7","167.0"
"Chase Edmonds","MIA","RB33","135.2","613.6","3.2","46.5","327.4","1.6","1.3","166.4"
"Dallas Goedert","PHI","TE8","0.0","0.0","0.0","62.0","754.1","5.0","0.7","165.8"
"Tyler Boyd","CIN","WR45","2.3","16.8","0.0","65.3","743.0","4.2","0.7","164.8"
"Robbie Anderson","CAR","WR46","3.4","23.9","0.1","58.8","744.9","4.9","0.7","164.5"
"Brandon Aiyuk","SF","WR47","2.6","16.1","0.0","58.7","763.4","4.9","0.8","164.4"
